x,qs
9.7200000000000004e-05,0.089999999999999997
0.0001,0.093913934426229501
0.00010283,0.097827868852459018
0.000105741,0.10174180327868852
0.00010873400000000001,0.10565573770491803
0.000111811,0.10956967213114754
0.00011497600000000001,0.11348360655737705
0.00011823,0.11739754098360655
0.000121576,0.12131147540983606
0.000125017,0.12522540983606556
0.00012855599999999999,0.12913934426229506
0.000132194,0.1330532786885246
0.00013593599999999999,0.1369672131147541
0.00013978300000000001,0.1408811475409836
0.00014373899999999999,0.14479508196721311
0.00014780800000000001,0.14870901639344261
0.000151991,0.15262295081967214
0.000156293,0.15653688524590165
0.000160717,0.16045081967213115
0.000165265,0.16436475409836065
0.00016994300000000001,0.16827868852459016
0.00017475300000000001,0.17219262295081966
0.00017969899999999999,0.17610655737704917
0.000184785,0.18002049180327867
0.000190015,0.1839344262295082
0.000195393,0.18784836065573771
0.00020092299999999999,0.19176229508196721
0.00020661,0.19567622950819671
0.000212458,0.19959016393442625
0.000218471,0.20350409836065575
0.00022465500000000001,0.20741803278688525
0.00023101299999999999,0.21133196721311476
0.00023755099999999999,0.21524590163934426
0.00024427500000000002,0.21915983606557377
0.00025118900000000002,0.22307377049180327
0.00025829800000000001,0.22698770491803277
0.00026560899999999998,0.2309016393442623
0.000273126,0.23481557377049181
0.00028085700000000003,0.23872950819672131
0.00028880600000000001,0.24264344262295082
0.00029698000000000002,0.24655737704918032
0.00030538599999999999,0.2504713114754098
0.00031402900000000001,0.25438524590163936
0.00032291699999999998,0.25829918032786886
0.00033205700000000002,0.26221311475409836
0.000341455,0.26612704918032787
0.000351119,0.27004098360655737
0.00036105700000000002,0.27395491803278688
0.00037127599999999997,0.27786885245901638
0.00038178399999999998,0.28178278688524594
0.00039259000000000001,0.28569672131147539
0.00040370199999999998,0.28961065573770495
0.00041512800000000001,0.2935245901639344
0.00042687699999999999,0.29743852459016396
0.000438959,0.3013524590163934
0.00045138300000000003,0.30526639344262296
0.00046415900000000001,0.30918032786885247
0.00047729599999999999,0.31309426229508197
0.00049080499999999997,0.31700819672131147
0.00050469700000000002,0.32092213114754098
0.00051898099999999996,0.32483606557377048
0.00053366999999999998,0.32874999999999999
0.00054877500000000004,0.33266393442622955
0.000564307,0.33657786885245899
0.00058027800000000004,0.34049180327868855
0.00059670199999999995,0.344405737704918
0.00061359100000000003,0.34831967213114756
0.00063095700000000002,0.35223360655737701
0.00064881499999999996,0.35614754098360657
0.00066717899999999995,0.36006147540983602
0.00068606199999999998,0.36397540983606558
0.00070547999999999997,0.36788934426229514
0.00072544799999999996,0.37180327868852459
0.00074598000000000004,0.37571721311475414
0.00076709399999999996,0.37963114754098359
0.00078880499999999995,0.38354508196721315
0.00081113099999999998,0.3874590163934426
0.00083408799999999997,0.39137295081967216
0.00085769600000000002,0.39528688524590161
0.00088197099999999995,0.39920081967213117
0.00090693399999999997,0.40311475409836062
0.00093260299999999995,0.40702868852459018
0.00095899899999999998,0.41094262295081962
0.00098614199999999996,0.41485655737704918
0.0010140500000000001,0.41877049180327874
0.0010427500000000001,0.42268442622950819
0.00107227,0.42659836065573775
0.0011026199999999999,0.4305122950819672
0.00113382,0.43442622950819676
0.00116591,0.43834016393442621
0.0011989100000000001,0.44225409836065577
0.00123285,0.44616803278688522
0.0012677400000000001,0.45008196721311478
0.0013036199999999999,0.45399590163934422
0.00134052,0.45790983606557378
0.00137846,0.46182377049180323
0.0014174700000000001,0.46573770491803279
0.0014575899999999999,0.46965163934426235
0.0014988499999999999,0.4735655737704918
0.00154127,0.47747950819672136
0.00158489,0.48139344262295081
0.0016297499999999999,0.48530737704918037
0.00167588,0.48922131147540981
0.00172331,0.49313524590163937
0.00177209,0.49704918032786882
0.0018222399999999999,0.50096311475409838
0.00187382,0.50487704918032783
0.0019268499999999999,0.50879098360655739
0.00198139,0.51270491803278684
0.00203747,0.5166188524590164
0.0020951400000000001,0.52053278688524596
0.0021544300000000001,0.52444672131147541
0.0022154100000000001,0.52836065573770497
0.0022781199999999998,0.53227459016393441
0.0023425899999999999,0.53618852459016397
0.0024088999999999998,0.54010245901639342
0.00247708,0.54401639344262298
0.00254719,0.54793032786885243
0.0026192799999999999,0.55184426229508199
0.0026934099999999998,0.55575819672131144
0.0027696499999999998,0.559672131147541
0.00284804,0.56358606557377044
0.0029286400000000001,0.5675
0.0030115300000000001,0.57141393442622956
0.00309677,0.57532786885245901
0.0031844199999999999,0.57924180327868857
0.0032745500000000002,0.58315573770491802
0.0033672300000000001,0.58706967213114758
0.0034625300000000001,0.59098360655737703
0.0035605300000000001,0.59489754098360659
0.0036613100000000001,0.59881147540983604
0.00376494,0.6027254098360656
0.0038714999999999999,0.60663934426229504
0.0039810699999999997,0.6105532786885246
0.0040937500000000002,0.61446721311475405
0.0042096199999999999,0.61838114754098361
0.0043287600000000001,0.62229508196721306
0.0044512800000000002,0.62620901639344262
0.0045772699999999996,0.63012295081967207
0.0047068199999999996,0.63403688524590163
0.0048400300000000004,0.63795081967213108
0.0049770200000000004,0.64186475409836063
0.0051178899999999999,0.64577868852459019
0.0052627400000000001,0.64969262295081964
0.0054117000000000002,0.6536065573770492
0.0055648599999999996,0.65752049180327865
0.0057223700000000001,0.66143442622950821
0.0058843300000000001,0.66534836065573766
0.0060508799999999998,0.66926229508196722
0.0062221300000000002,0.67317622950819667
0.0063982400000000004,0.67709016393442623
0.0065793300000000004,0.68100409836065567
0.0067655500000000004,0.68491803278688523
0.0069570400000000003,0.68883196721311468
0.0071539400000000001,0.69274590163934424
0.0073564199999999998,0.6966598360655738
